id;nome;cpf;data_nascimento;tipo;criacao
1;Buckinghamshire transmitting;multimedia;2022-04-26;ALUNO;2022-04-26T19:17:07
2;benchmark Account primary;esmeralda connecting system;2022-04-26;PROFESSOR;2022-04-27T05:50:46
3;Somoni convergence;Amapá Licenciado Bedfordshire;2022-04-26;PROFESSOR;2022-04-27T10:18:43
4;Triple-buffered;program Forward;2022-04-26;ALUNO;2022-04-26T14:55:38
5;Marginal;PCI Rial Toalhas;2022-04-26;ALUNO;2022-04-27T00:46:12
6;generation bronze;Bedfordshire Cuba navigating;2022-04-26;PROFESSOR;2022-04-26T15:58:15
7;Gostoso;Luvas motivating virtual;2022-04-27;PROFESSOR;2022-04-27T09:02:45
8;Intuitive;auxiliary Human;2022-04-27;PROFESSOR;2022-04-26T20:16:18
9;Rio collaborative Investment;virtual;2022-04-27;PROFESSOR;2022-04-26T14:38:55
10;CSS;Refinado Uganda;2022-04-26;PROFESSOR;2022-04-27T06:26:41
